País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,15 ENGATIVA,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
,Desayuno,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0.4369747899
,Descongelar,FRUVER,243,Sorbet de acai,UN,Viernes,,Porción más común 160UN,porcionado y listo,295.3846154,320,160,160,640.0,1,,
,Rayar,LACTEOS,228,Queso Doble Crema,G,Sábado,,Porción más común 15G,999.2307692,,150,330,540,1200.0,0,,
,Surtir,LACTEOS,229,Queso Feta,G,Sábado,,Porción más común 20G,90.76923077,,20,60,40,300.0,0,,
Madre,Surtir,LACTEOS,5511,Queso cheddar tajadas UN,UN,Sábado,,Porción más común 1UN,sábado PM,186.6153846,14,63,112,189.0,0,,
,Surtir,PANADERIA,253,Tortilla De Harina,UN,Domingo,,Porción más común 1UN,27.69230769,,3,12,14,29.0,0,,
Madre,Descongelar,PANADERIA,159,Croissant Grande,UN,Viernes,,Porción más común 1UN,pasar a nevera,45.30769231,78,7,4,89.0,0,,
,"Producción, Surtir",PRODUCCION,2952,Arroz Achiotado,G,Descongelar,Sábado,Porción más común 225G,tener suficiente cocido y caliente,4287.692308,675,2700,1350,4800.0,0,,
,"Porcionar, Producción",PRODUCCION,5091,Limonada (con base limonada),ML,Bebidas,Viernes,Porción más común 300ML,y tener mas preparada por si se acaba,5976.923077,900,2400,3300,6600.0,1,,
,"Calentar, Surtir",PRODUCCION,283,Frijoles Negros,UN,Descongelar,Domingo,Porción más común 130UN,y tener descongelado,2205,260,1300,910,2470.0,1,,
,"Surtir, Producción",PRODUCCION,269,Arroz Integral Cocido,UN,Descongelar,Sábado,Porción más común 125UN,tener suficiente cocido y caliente,2134.615385,125,1375,875,2375.0,1,,
Madre,Producción,PRODUCCION,464,Mezcla Pancakes Tradicionales Lista,G,Sábado,,Porción más común 140G,tener lista PM y pancakes prehechos domingo,5141.538462,4340,560,560,5600.0,0,,
,"Calentar, Surtir",PRODUCCION,5082,Carne Chilli,G,Descongelar,Domingo,Porción más común 82G,y tener mas desconegalda,1406.615385,164,902,492,1700.0,1,,
,"Porcionar, Calentar",PRODUCCION,4938,Pollo a las Hierbas,G,Descongelar,Domingo,Porción más común 90G,y tener en baño maria para burritos,1059.230769,90,630,450,1300.0,1,,
,Cocinar,PRODUCCION,295,Papa Calentada,G,Sábado,,Porción más común 52G,812.3076923,,520,260,104,1100.0,1,,
,"Calentar, Surtir",PRODUCCION,282,Frijol Paisa,G,Descongelar,Domingo,Porción más común 120G,y tenr mas descongelado,626.5384615,120,480,240,1000.0,1,,
,Surtir,PRODUCCION,297,Platano Frito,G,Sábado,,Porción más común 42G,730.9230769,,126,420,294,1000.0,1,,
,"Lavar, desinfectar y procesar",PRODUCCION,296,Pico de Gallo,G,Sábado,,Porción más común 25G,PM,707.3076923,50,375,325,900.0,0,,
,Porcionar,PRODUCCION,5094,Cerdo Desmechado,G,Descongelar,Viernes,Porción más común 115G,y tener desconegaldo,1229.615385,230,575,690,1600.0,1,,
,Porcionar,PRODUCCION,5920,Pollo  BBQ,G,Descongelar,Viernes,Porción más común 90G,y tener desconegaldo,463.8461538,0,360,270,700.0,1,,
Madre,"Porcionar, Surtir",PRODUCCION,2730,Emulsion Alioli,G,Sábado,,Porción más común 30G,Surtir en tetero,1737.692308,330,510,960,2000.0,1,,
,Surtir,PRODUCCION,288,Hummus De Garbanzos,G,Domingo,,Porción más común 50G,581.5384615,,50,650,550,1400.0,1,,
,Producción,PRODUCCION,323,Yogur griego Preparado,G,Sábado,,Porción más común 60G,preparar PM,300,240,60,60,500.0,1,,
,Porcionar,PRODUCCION,319,Vinagreta Libanesa,G,Vinagretas,Viernes,Porción más común 60G,224.8351648,,0,180,120,400.0,0,,
,Porcionar,PRODUCCION,277,Vinagreta Cesar,G,Vinagretas,Viernes,Porción más común 60G,267.6923077,,0,180,180,400.0,0,,
,Producción,PRODUCCION,5630,Maíz salteado.,G,Sábado,,Porción más común 20G,PM,159.5804196,40,100,60,300.0,0,,
,Cocinar,PRODUCCION,5093,Tocineta producción,G,Sábado,,Porción más común 10G,196.9230769,,100,50,60,300.0,0,,
,"Producción, Porcionar",PRODUCCION,4816,Pasta Integral Cocida,G,Sábado,,Porción más común 180G,207.6923077,,180,180,180,600.0,1,,
,Producción,PRODUCCION,306,Salsa Criolla Produccion,UN,Sábado,,Porción más común 25UN,PM,109.6153846,50,50,50,150.0,1,,
,Cocinar,PRODUCCION,5032,cebolla asada Mr.Beast,UN,Sábado,,Porción más común 28UN,1201.846154,,0,448,784,1232.0,0,,
,Producción,PRODUCCION,4811,Quinoa especiada,UN,Sábado,,Porción más común 72UN,44.30769231,,0,72,72,144.0,0,,
,Porcionar,PRODUCCION,320,Vinagreta de Jalapenos Mexicanos,G,Vinagretas,Viernes,Porción más común 60G,64.61538462,,0,60,60,200.0,0,,
,Porcionar,PRODUCCION,318,Vinagreta de Pesto de Genoa,UN,Vinagretas,Viernes,Porción más común 20UN,75,,20,40,40,100.0,0,,
,Producción,PRODUCCION,465,Mezcla Pancakes Avena Lista,G,Sábado,,Porción más común 210G,PM,110.7692308,210,210,0,600.0,0,,
,Surtir,PRODUCCION,4823,Hummus de Pimenton,G,Domingo,,Porción más común 50G,65.38461538,,0,50,50,200.0,0,,
,Producción,PRODUCCION,4818,Brocoli Rostizado,G,Sábado,,Porción más común 40G,76.76923077,,0,80,40,200.0,0,,
,Producción,PRODUCCION,5206,Coleslaw la cosmica,G,Sábado,,Porción más común 25G,hacer producción PM,151.9230769,25,75,100,300.0,0,,
,Porcionar,PRODUCCION,316,Vinagreta Balsamica de Modena,G,Vinagretas,Viernes,Porción más común 60G,18.46153846,,0,60,60,200.0,0,,
,Porcionar,PRODUCCION,321,Vinagreta Mediterranea,G,Vinagretas,Viernes,Porción más común 60G,14.46153846,,0,60,60,200.0,0,,
,Surtir,PRODUCCION,1283,Cebolla Encurtida Picante,G,Domingo,,Porción más común 20G,29.23076923,,20,20,20,300.0,0,,
,Surtir,PRODUCCION,4991,Mezcla Tostadas Francesas Nueva,G,Domingo,,Porción más común 100G,se hace a la minjta,53.84615385,100,0,100,200.0,0,,
,Producción,PRODUCCION,275,Crutones Zatahar,G,Sábado,,Porción más común 20G,31.20879121,,0,20,20,200.0,0,,
,Surtir,PRODUCCION,1240,Salsa Pizza,G,Domingo,,Porción más común 50G,10.76923077,,0,50,50,200.0,0,,
,Surtir,PRODUCCION,5517,Totopos triturados,G,Domingo,,Porción más común 30G,63.46153846,,0,60,30,200.0,0,,
,Descongelar,PRODUCCION,3609,Carne Smashed 80gr,UN,Sábado,,Porción más común 2UN,y surtir,60.53846154,2,22,40,64.0,0,,
,Calentar,PRODUCCION,4918,Pollo Ensalada,UN,Domingo,,Porción más común 1UN,5.615384615,,1,4,3,8.0,0,,
,Porcionar,PRODUCCION,284,Galletas De Parmesano,UN,Sábado,,Porción más común 21UN,descongeladas y empacadas,6.461538462,0,21,21,42.0,1,,
,Descongelar,PRODUCCION,3481,Galleta de Chunks de Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,2.769230769,1,1,2,4.0,1,,
,Descongelar,PRODUCCION,3482,Galleta Oreo PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0.9230769231,1,1,1,3.0,1,,
Madre,Descongelar,PRODUCCION,3483,Galleta Red Velvet Choc Blanco PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,6.307692308,2,3,4,9.0,1,,
,Descongelar,PRODUCCION,3484,Galleta Avena Frutos Rojos,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,1.307692308,1,1,1,3.0,1,,
,Descongelar,PRODUCCION,3485,Galleta Nueces Choc Blanco,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3486,Galleta Nutella y Nueces PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3487,Galleta de Guayaba PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0.1538461538,1,1,2.0,,0,,
