País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,11 MANILA,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
Desayuno,,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0.1363636364
,Descongelar,FRUVER,243,Sorbet de acai,UN,Viernes,,Porción más común 160UN,porcionado y listo,1058.461538,640,320,320,1280.0,0,,
,Rayar,LACTEOS,228,Queso Doble Crema,G,Sábado,,Porción más común 15G,3999.230769,,585,1470,1980,4100.0,0,,
,Surtir,LACTEOS,229,Queso Feta,G,Sábado,,Porción más común 20G,472.3076923,,100,200,200,500.0,0,,
Madre,Surtir,LACTEOS,5511,Queso cheddar tajadas UN,UN,Sábado,,Porción más común 1UN,sábado PM,198.7692308,52,55,93,200.0,1,,
,Surtir,PANADERIA,253,Tortilla De Harina,UN,Domingo,,Porción más común 1UN,106.9300699,,8,47,54,109.0,0,,
Madre,Descongelar,PANADERIA,159,Croissant Grande,UN,Viernes,,Porción más común 1UN,pasar a nevera,115,78,29,9,116.0,0,,
,"Producción, Surtir",PRODUCCION,2952,Arroz Achiotado,G,Descongelar,Sábado,Porción más común 225G,tener suficiente cocido y caliente,20321.53846,2475,11025,7200,20800.0,0,,
,"Porcionar, Producción",PRODUCCION,5091,Limonada (con base limonada),ML,Bebidas,Viernes,Porción más común 300ML,y tener mas preparada por si se acaba,12392.30769,1800,5400,5700,12900.0,0,,
,"Calentar, Surtir",PRODUCCION,283,Frijoles Negros,UN,Descongelar,Domingo,Porción más común 130UN,y tener descongelado,12375,780,6760,5070,12610.0,0,,
,"Surtir, Producción",PRODUCCION,269,Arroz Integral Cocido,UN,Descongelar,Sábado,Porción más común 125UN,tener suficiente cocido y caliente,10961.53846,125,7125,3875,11125.0,0,,
Madre,Producción,PRODUCCION,464,Mezcla Pancakes Tradicionales Lista,G,Sábado,,Porción más común 140G,tener lista PM y pancakes prehechos domingo,16146.15385,12040,3220,980,16400.0,1,,
,"Calentar, Surtir",PRODUCCION,5082,Carne Chilli,G,Descongelar,Domingo,Porción más común 82G,y tener mas desconegalda,5008.307692,410,2788,1968,5300.0,0,,
,"Porcionar, Calentar",PRODUCCION,4938,Pollo a las Hierbas,G,Descongelar,Domingo,Porción más común 90G,y tener en baño maria para burritos,5503.846154,360,2880,2430,5800.0,0,,
,Cocinar,PRODUCCION,295,Papa Calentada,G,Sábado,,Porción más común 52G,5610.461538,,3016,1820,832,5900.0,0,,
,"Calentar, Surtir",PRODUCCION,282,Frijol Paisa,G,Descongelar,Domingo,Porción más común 120G,y tenr mas descongelado,1895.384615,480,1080,480,2100.0,0,,
,Surtir,PRODUCCION,297,Platano Frito,G,Sábado,,Porción más común 42G,2583.230769,,420,1428,798,2800.0,0,,
,"Lavar, desinfectar y procesar",PRODUCCION,296,Pico de Gallo,G,Sábado,,Porción más común 25G,PM,3488.692308,175,1775,1575,3600.0,0,,
,Porcionar,PRODUCCION,5094,Cerdo Desmechado,G,Descongelar,Viernes,Porción más común 115G,y tener desconegaldo,3423.461538,115,1955,1495,3700.0,0,,
,Porcionar,PRODUCCION,5920,Pollo  BBQ,G,Descongelar,Viernes,Porción más común 90G,y tener desconegaldo,3409.825175,90,1710,1710,3700.0,0,,
Madre,"Porcionar, Surtir",PRODUCCION,2730,Emulsion Alioli,G,Sábado,,Porción más común 30G,Surtir en tetero,3723.461538,1170,1170,1440,3900.0,1,,
,Surtir,PRODUCCION,288,Hummus De Garbanzos,G,Domingo,,Porción más común 50G,1676.153846,,100,1900,1450,3500.0,0,,
,Producción,PRODUCCION,323,Yogur griego Preparado,G,Sábado,,Porción más común 60G,preparar PM,1227.692308,900,300,120,1400.0,0,,
,Porcionar,PRODUCCION,319,Vinagreta Libanesa,G,Vinagretas,Viernes,Porción más común 60G,644.5804196,,0,420,300,800.0,0,,
,Porcionar,PRODUCCION,277,Vinagreta Cesar,G,Vinagretas,Viernes,Porción más común 60G,822.1678322,,0,540,360,1000.0,0,,
,Producción,PRODUCCION,5630,Maíz salteado.,G,Sábado,,Porción más común 20G,PM,1453.846154,120,720,640,1700.0,0,,
,Cocinar,PRODUCCION,5093,Tocineta producción,G,Sábado,,Porción más común 10G,980.7692308,,580,230,180,1100.0,0,,
,"Producción, Porcionar",PRODUCCION,4816,Pasta Integral Cocida,G,Sábado,,Porción más común 180G,1283.916084,,180,720,720,1800.0,0,,
,Producción,PRODUCCION,306,Salsa Criolla Produccion,UN,Sábado,,Porción más común 25UN,PM,875,375,275,250,900.0,0,,
,Cocinar,PRODUCCION,5032,cebolla asada Mr.Beast,UN,Sábado,,Porción más común 28UN,432.9230769,,0,168,280,448.0,0,,
,Producción,PRODUCCION,4811,Quinoa especiada,UN,Sábado,,Porción más común 72UN,486.1678322,,72,360,216,648.0,0,,
,Porcionar,PRODUCCION,320,Vinagreta de Jalapenos Mexicanos,G,Vinagretas,Viernes,Porción más común 60G,354.1258741,,60,240,180,600.0,0,,
,Porcionar,PRODUCCION,318,Vinagreta de Pesto de Genoa,UN,Vinagretas,Viernes,Porción más común 20UN,444.6153846,,40,200,240,480.0,0,,
,Producción,PRODUCCION,465,Mezcla Pancakes Avena Lista,G,Sábado,,Porción más común 210G,PM,624.9230769,420,210,210,1100.0,0,,
,Surtir,PRODUCCION,4823,Hummus de Pimenton,G,Domingo,,Porción más común 50G,335.3146853,,50,200,150,500.0,0,,
,Producción,PRODUCCION,4818,Brocoli Rostizado,G,Sábado,,Porción más común 40G,310.7692308,,0,200,160,400.0,0,,
,Producción,PRODUCCION,5206,Coleslaw la cosmica,G,Sábado,,Porción más común 25G,hacer producción PM,502.0979021,25,300,225,700.0,0,,
,Porcionar,PRODUCCION,316,Vinagreta Balsamica de Modena,G,Vinagretas,Viernes,Porción más común 60G,212.5174825,,60,120,180,500.0,0,,
,Porcionar,PRODUCCION,321,Vinagreta Mediterranea,G,Vinagretas,Viernes,Porción más común 60G,171.1902834,,0,120,120,400.0,0,,
,Surtir,PRODUCCION,1283,Cebolla Encurtida Picante,G,Domingo,,Porción más común 20G,200.7692308,,20,100,120,400.0,0,,
,Surtir,PRODUCCION,4991,Mezcla Tostadas Francesas Nueva,G,Domingo,,Porción más común 100G,se hace a la minjta,223.0769231,200,100,100,400.0,0,,
,Producción,PRODUCCION,275,Crutones Zatahar,G,Sábado,,Porción más común 20G,150.7692308,,0,80,80,200.0,0,,
,Surtir,PRODUCCION,1240,Salsa Pizza,G,Domingo,,Porción más común 50G,0,,0,0,0,0.0,0,,
,Surtir,PRODUCCION,5517,Totopos triturados,G,Domingo,,Porción más común 30G,127.1328671,,0,90,90,200.0,0,,
,Descongelar,PRODUCCION,3609,Carne Smashed 80gr,UN,Sábado,,Porción más común 2UN,y surtir,29.76923077,2,10,20,32.0,0,,
,Calentar,PRODUCCION,4918,Pollo Ensalada,UN,Domingo,,Porción más común 1UN,61,,1,34,27,62.0,0,,
,Porcionar,PRODUCCION,284,Galletas De Parmesano,UN,Sábado,,Porción más común 21UN,descongeladas y empacadas,26.19230769,0,21,21,42.0,0,,
,Descongelar,PRODUCCION,3481,Galleta de Chunks de Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,16.38461538,2,5,12,19.0,0,,
,Descongelar,PRODUCCION,3482,Galleta Oreo PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,5.538461538,1,2,4,7.0,0,,
Madre,Descongelar,PRODUCCION,3483,Galleta Red Velvet Choc Blanco PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,15.84615385,2,4,11,17.0,1,,
,Descongelar,PRODUCCION,3484,Galleta Avena Frutos Rojos,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,5.076923077,1,2,3,6.0,0,,
,Descongelar,PRODUCCION,3485,Galleta Nueces Choc Blanco,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3486,Galleta Nutella y Nueces PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3487,Galleta de Guayaba PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0.0,,0,,
,Descongelar,PRODUCCION,3488,Galleta Doble Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
Madre,Descongelar,PRODUCCION,3623,Cubierta Queso Crema,G,Sábado,,Porción más común 14G,Frostear primera hora,1418.692308,364,1120,1386,3000.0,1,,
Madre,Producción,PRODUCCION,3002,Mezcla de Aceite Y Mantequilla (Produccion),G,Sábado,,Porción más común 20G,2214.528253,,660,640,940,2400.0,1,,
Madre,Frostear,PRODUCCION,3632,PROD Minibon de Canela,UN,Domingo,,Porción más común 1UN,Frostear,32.69230769,5,17,13,35.0,0,,
,Porcionar,PRODUCCION,307,Salsa Frutos Rojos,G,Sábado,,Porción más común 20G,99.61538462,,100,60,60,300.0,0,,
Madre,Asegurar existencia,EMPAQUES,713,⭕️Caja Lunch,UN,Viernes,,Porción más común 1UN,106.9230769,,84,15,9,108.0,0,,
Madre,Asegurar existencia,ABARROTES,3576,Flores dia de la Madre,UN,Viernes,,Porción más común 1UN,"lejos del calor, lugar fresco ",40,40,0,0,40.0,0,,
Madre,Asegurar existencia,ABARROTES,119,⚠️Aceite De Girasol,ML,Viernes,,Porción más común 3ML,1784.446615,,1104,1194,1275,3700.0,0,,
Madre,Asegurar existencia,ABARROTES,172,Huevo Tipo AA,UN,Viernes,,Porción más común 2UN,445.9119662,,604,206,84,894.0,0,,
Madre,Asegurar existencia,EMPAQUESAJ,550,⭕️Bolsa Pan Generica,UN,Viernes,,Porción más común 1UN,93.30769231,,22,28,45,95.0,0,,
Madre,Asegurar existencia,ABARROTES,237,Sal,G,Viernes,,Porción más común 1G,1042.944857,,417,878,792,2200.0,0,,
