País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,67 PLAZA CLARO COURT,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
,Desayuno,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0
,Cocinar,PRODUCCION,5032,cebolla asada Mr.Beast,UN,Sábado,,Porción más común 28UN,0,,0,0,0,0.0,0,,
,Producción,PRODUCCION,4811,Quinoa especiada,UN,Sábado,,Porción más común 72UN,0,,0,0,0,0.0,0,,
,Porcionar,PRODUCCION,320,Vinagreta de Jalapenos Mexicanos,G,Vinagretas,Viernes,Porción más común 60G,0,,0,0,0,0.0,0,,
,Porcionar,PRODUCCION,318,Vinagreta de Pesto de Genoa,UN,Vinagretas,Viernes,Porción más común 20UN,36.92307692,,0,0,0,0.0,0,,
,Producción,PRODUCCION,465,Mezcla Pancakes Avena Lista,G,Sábado,,Porción más común 210G,PM,0,0,0,0,0.0,0,,
,Surtir,PRODUCCION,4823,Hummus de Pimenton,G,Domingo,,Porción más común 50G,0,,0,0,0,0.0,0,,
,Producción,PRODUCCION,4818,Brocoli Rostizado,G,Sábado,,Porción más común 40G,6.153846154,,0,0,0,0.0,0,,
,Producción,PRODUCCION,5206,Coleslaw la cosmica,G,Sábado,,Porción más común 25G,hacer producción PM,53.84615385,0,0,0,0.0,0,,
,Porcionar,PRODUCCION,316,Vinagreta Balsamica de Modena,G,Vinagretas,Viernes,Porción más común 60G,0,,0,0,0,0.0,0,,
,Porcionar,PRODUCCION,321,Vinagreta Mediterranea,G,Vinagretas,Viernes,Porción más común 60G,4.615384615,,0,0,0,0.0,0,,
,Surtir,PRODUCCION,1283,Cebolla Encurtida Picante,G,Domingo,,Porción más común 20G,29.23076923,,0,0,0,0.0,0,,
,Surtir,PRODUCCION,4991,Mezcla Tostadas Francesas Nueva,G,Domingo,,Porción más común 100G,se hace a la minjta,0,0,0,0,0.0,0,,
,Producción,PRODUCCION,275,Crutones Zatahar,G,Sábado,,Porción más común 20G,18.46153846,,0,0,0,0.0,0,,
,Surtir,PRODUCCION,1240,Salsa Pizza,G,Domingo,,Porción más común 50G,0,,0,0,0,0.0,0,,
,Surtir,PRODUCCION,5517,Totopos triturados,G,Domingo,,Porción más común 30G,0,,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3609,Carne Smashed 80gr,UN,Sábado,,Porción más común 2UN,y surtir,0,0,0,0,0.0,0,,
,Calentar,PRODUCCION,4918,Pollo Ensalada,UN,Domingo,,Porción más común 1UN,0.1538461538,,0,0,0,0.0,0,,
,Porcionar,PRODUCCION,284,Galletas De Parmesano,UN,Sábado,,Porción más común 21UN,descongeladas y empacadas,3.230769231,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3481,Galleta de Chunks de Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3482,Galleta Oreo PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0.07692307692,0.07692307692,0,0,1.0,0,,
Madre,Descongelar,PRODUCCION,3483,Galleta Red Velvet Choc Blanco PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3484,Galleta Avena Frutos Rojos,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3485,Galleta Nueces Choc Blanco,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3486,Galleta Nutella y Nueces PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3487,Galleta de Guayaba PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
,Descongelar,PRODUCCION,3488,Galleta Doble Chocolate PROD,UN,Postres,Sábado,Porción más común 1UN,descongeladas y empacadas,0,0,0,0,0.0,0,,
Madre,Descongelar,PRODUCCION,3623,Cubierta Queso Crema,G,Sábado,,Porción más común 14G,Frostear primera hora,0,0,0,0,0.0,0,,
Madre,Producción,PRODUCCION,3002,Mezcla de Aceite Y Mantequilla (Produccion),G,Sábado,,Porción más común 20G,1.538461538,,0,0,0,0.0,0,,
Madre,Frostear,PRODUCCION,3632,PROD Minibon de Canela,UN,Domingo,,Porción más común 1UN,Frostear,0,0,0,0,0.0,0,,
,Porcionar,PRODUCCION,307,Salsa Frutos Rojos,G,Sábado,,Porción más común 20G,0,,0,0,0,0.0,0,,
Madre,Asegurar existencia,EMPAQUES,713,⭕️Caja Lunch,UN,Viernes,,Porción más común 1UN,0.3076923077,,0,0,0,0.0,0,,
Madre,Asegurar existencia,ABARROTES,3576,Flores dia de la Madre,UN,Viernes,,Porción más común 1UN,"lejos del calor, lugar fresco ",0,0,0,0,0.0,0,,
Madre,Asegurar existencia,ABARROTES,119,⚠️Aceite De Girasol,ML,Viernes,,Porción más común 3ML,102.4753042,,0,192,18,300.0,0,,
