country,city,kitchen_id,meal_period,sku,description,category,consumption_place,unit,sum(quantity),avg(quantity)
COL,Bogotá,03 CHAPINERO,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,18262.5338576571,18262.5338576571
COL,Medellín,18 BELLO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,18106.3939916117,18106.3939916117
COL,Cartagena,33 CARTAGENA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,18000.0,18000.0
COL,Cartagena,33 CARTAGENA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,17820.0,17820.0
COL,Bogotá,03 CHAPINERO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,17760.2163364176,17760.2163364176
COL,Medellín,29 ITAGUI,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,17760.0,17760.0
COL,Bucaramanga,42 CABECERA,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,17415.0,17415.0
COL,Bogotá,65 CALLE 109,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,17378.264612447,17378.264612447
COL,Pereira,28 PEREIRA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,17093.3052164176,17093.3052164176
COL,Bogotá,08 ANDES,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,16978.273964,16978.273964
COL,Bogotá,02 PARQUE 93,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,16840.0,16840.0
COL,Barranquilla,32 BARRANQUILLA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,16824.06304,16824.06304
COL,Bogotá,15 ENGATIVA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,16800.0,16800.0
COL,Medellín,14 ENVIGADO,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,16733.89372,16733.89372
COL,Cali,46 INGENIO,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,16704.5058368857,16704.5058368857
COL,Cali,22 SANTA MONICA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,16561.3288046411,16561.3288046411
COL,Bogotá,38 KENNEDY,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,16528.689337,16528.689337
COL,Barranquilla,32 BARRANQUILLA,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,16425.0,16425.0
COL,Bogotá,02 PARQUE 93,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,16399.3629566411,16399.3629566411
