order_received_at_local,order_id,provider_order_id,provider_name,country,kitchen,brand,rating,comments,complaint,rating_tag,reason,reason_category,reason_area,# In Full,is infull
18.0,FHwXmAvfhSwFPPvvo,98aaa7cf-aa28-4ba0-9bc2-9b4ddc20d873,ubereats,MEX,Doctores,House of Salads,5.0,0,,RATINGS,,RATINGS,1.0,,0
18.0,HmusvZSDPRAxksXDe,5764670185302721943,didi,MEX,Tabachines,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
18.0,H2msG8qWY7TM9cc46,d261d560-caf0-481f-870a-d53487f855f7,ubereats,MEX,Churubusco,Avocalia,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,Fx4gQpBbQBAqDjuJr,5764669960483833228,didi,MEX,Churubusco,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,AB5LnQXrJhxcmh7Nw,2.440147607E9,rappi,MEX,Santa Fe,Mr Beast Burger,4.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,ac5DJcMW4tmdhBSLE,ef703fc7-83cd-4222-81e2-a9b05ba837b8,ubereats,MEX,Montejo,Brunch & Munch,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,pHtR9kLgSRFfzoBYF,2.440148153E9,rappi,MEX,Volcanes,Mr Beast Burger,5.0,0,,rrs_rest_packaging_rate_5|Buena presentación,GOOD_PACKAGING,GOOD_PACKAGING,,1.0,0
19.0,hRAwwXgnnmqSs5Epu,2.440148215E9,rappi,MEX,Ciudad Judicial,Don Gyros & Kebab,5.0,0,,comment|Comentario,RATINGS,RATINGS,1.0,,0
19.0,riF9ExiyvZqPjXuJw,2.440149825E9,rappi,MEX,Saltillo Centro,Mr Beast Burger Turbo,5.0,0,,rrs_rest_quality_rate_5|Calidad de la comida,HIGH_FOOD_QUALITY,HIGH_FOOD_QUALITY,,1.0,0
19.0,dpsiThYpZRtP7zq55,2.44014943E9,rappi,MEX,Montejo,Brunch & Munch,5.0,0,,rrs_rest_completeness_rate_5|Tal como lo pedí,ORDER_COMPLETENESS,ORDER_COMPLETENESS,,1.0,0
19.0,bAi4bJa6acwYL4KNK,5764669942473491867,didi,MEX,Coapa,Fonda Local,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,AbyHYTgPc33J7hb4Z,5764670109801055637,didi,MEX,Ciudad Judicial,Mr Beast Burger,3.0,1,,RATINGS,,RATINGS,0.0,,1
19.0,WtLW3px7G3H7DbHzw,2.440153896E9,rappi,MEX,Montejo,Mr Beast Burger,5.0,0,,rrs_rest_accuracy_rate_5|Justo lo que pedí,ORDER_PRECISION,ORDER_PRECISION,,1.0,0
19.0,jW9urSj5utTQ56QEe,2.440154542E9,rappi,MEX,Doctores,La Neta Burgers (Orale Burgers),5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,eAzpLBhka5FJ7tYEC,2.440149358E9,rappi,MEX,Volcanes,Honest Food,5.0,0,,rrs_rest_completeness_rate_5|Tal como lo pedí,ORDER_COMPLETENESS,ORDER_COMPLETENESS,,1.0,0
19.0,Ko9kZhSCFEXqjdfjD,2.440154846E9,rappi,MEX,Esmeralda,Honest Food,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,mYG5E4mRNyYWn4teK,5764670019732571584,didi,MEX,Churubusco,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,qmp72y7kmkuhsg6iF,da561ebe-da92-4900-80db-916e8523c1b6,ubereats,MEX,Metepec,Honest Food,5.0,0,,HIGH_FOOD_QUALITY,,1.0,,,0
19.0,XW5t8X5w2GGxgQE9p,2.440149878E9,rappi,MEX,La Calma,Honest Food,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,Tk25vLu8zGFdght9c,2.440157827E9,rappi,MEX,Doctores,Mr Beast Burger,4.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,a3FMnecg2T5iMZmbB,91990057-fbcd-4fa7-8f46-a6c5f2f40902,ubereats,MEX,Churubusco,Green House,4.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,KyYy4bkd4MHkdB5bk,2.440159336E9,rappi,MEX,Del Valle,House of Burgers,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,KhWhqdi7F2RLkWW9E,2.440159615E9,rappi,MEX,Santa Teresita,Órale Desayunos,3.0,1,,rrs_rest_quality_rate_3|Mala calidad,BAD_QUALITY,OTHER,QUALITY,0.0,1
19.0,wy9W2R7tcAd6bG6C5,ed915ffd-4104-4c2d-b1d5-9307a8f29a0d,ubereats,MEX,Estadio,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,8rxJHiTWczDhzpCdx,5d9ac541-713b-4bb4-a9f3-ae1f667597d4,ubereats,MEX,Esmeralda,Freshlab,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,zQTmdk7JuzyDgurpS,931979fa-6035-4a69-bb9b-cae6167e8bbf,ubereats,MEX,Metepec,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,dj4c9GYzcoNhfsZL3,2.440153493E9,rappi,MEX,Volcanes,Mr Beast Burger,4.0,0,,rrs_rest_quality_rate_4|La calidad de los ingredientes,HIGH_FOOD_QUALITY,HIGH_FOOD_QUALITY,,1.0,0
19.0,BC56442NJKMdnZoyW,5764670006587622883,didi,MEX,San Nicolás,Green House,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,FZZx4RjwSr39CdkZM,5764669966100006351,didi,MEX,Saltillo Centro,House of Salads,5.0,0,,RATINGS,,RATINGS,1.0,,0
19.0,ZPQoufk8JvjSpf9MK,78126583-5963-463c-93f8-52dfd18961f9,ubereats,MEX,Santa Teresita,Avocalia,1.0,1,,RATINGS,,RATINGS,0.0,,1
19.0,4NCGBSoKp4GLgxXQZ,5764670172006778320,didi,MEX,Lincoln,Pozórale,5.0,0,,RATINGS,,RATINGS,1.0,,0
